episode_id;episode_imdb_rating;episode_imdb_votes;episode_views
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
263;7.4;731.0;49811.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
33;7.9;1246.0;51997.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
32;8.5;1684.0;52770.0
33;7.9;1246.0;51997.0
33;7.9;1246.0;51997.0
33;7.9;1246.0;51997.0
32;8.5;1684.0;52770.0
